Subject iri	Subject label	Predicate iri	Predicate label	Expression	Object iri	Object label
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0007838	Progressive ptosis
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0012473	Tongue atrophy
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0001611	Hypernasal speech
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0001260	Dysarthria
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0008988	Pelvic girdle muscle atrophy
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0008997	Proximal muscle weakness in upper limbs
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0012735	Cough 
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0033466	Weak grip
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003458	EMG: myopathic abnormalities
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0012497	Reduced maximal expiratory pressure
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002828	Multiple joint contractures
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002483	Bulbar signs
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0005216	Impaired mastication
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030193	Fatigable weakness of chewing muscles
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001270	Motor delay
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0031936	Delayed ability to walk 
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0033580	Compound motor action potential abnormality
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	PROMOT:00	Double compound motor action potential abnormality
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002015	Dysphagia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002068	Neuromuscular dysphagia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0200136	Oral-pharyngeal dysphagia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001618	Dysphonia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001609	Hoarse voice
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030000	EMG: repetitive nerve stimulation abnormality
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003398	Abnormal synaptic transmission at the neuromuscular junction 
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003458	EMG: myopathic abnormalities
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003445	EMG: neuropathic changes
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003403	EMG: decremental response of compound muscle action potential to repetitive nerve stimulation  
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0011968	Feeding difficulties
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0008872	Feeding difficulties in infancy
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002033	Poor suck
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0031914	Fluctuating
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003323	Progressive muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001288	Gait disturbance
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002515	Waddling gait
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002359	Frequent falls
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002540	Inability to walk
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0009046	Difficulty running
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002505	Loss of ambulation
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003473	Fatigable weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030196	Fatigable weakness of respiratory muscles 
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030198	Fatigable weakness of distal limb muscles
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030199	Fatigable weakness of neck muscles 
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030200	Fatiguable weakness of proximal limb muscles 
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030192	Fatigable weakness of bulbar muscles 
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030194	Fatigable weakness of speech muscles 
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030195	Fatigable weakness of swallowing muscles 
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030197	Fatigable weakness of skeletal muscles
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003391	Gowers sign
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003307	Hyperlordosis
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001252	Hypotonia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001319	Neonatal hypotonia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001324	Muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0000467	Neck muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030319	Weakness of facial musculature
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0000597	Ophthalmoparesis
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0007715	Weak extraocular muscles
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003327	Axial muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0004878	Intercostal muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0009023	Abdominal wall muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003722	Neck flexor weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003690	Limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0009053	Distal lower limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0008959	Distal upper limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0007340	Lower limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003484	Upper limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003325	Limb-girdle muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003701	Proximal muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002460	Distal muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0009028	Generalized weakness of limb muscles
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0011727	Peroneal muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030237	Hand muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0009063	Progressive distal muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0009073	Progressive proximal muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0008963	Tibialis muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003427	Thenar muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0008994	Proximal muscle weakness in lower limbs
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003749	Pelvic girdle muscle weakness / Hip girdle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003392	First dorsal interossei muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003731	Quadriceps muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003694	Late-onset proximal muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003810	Late-onset distal muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0008997	Proximal muscle weakness in upper limbs
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003547	Shoulder girdle muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0009005	Weakness of the intrinsic hand muscles
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0033416	Hip adductor weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0012515	Hip flexor weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0009027	Foot dorsiflexor weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0031108	Triceps weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0031374	Ankle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0031177	Finger flexor weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0009077	Weakness of long finger extensor muscles
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0000602	Ophthalmoplegia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0000544	External ophthalmoplegia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0000496	Abnormality of eye movement
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0007941	Limited extraocular movements
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0012531	Pain
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003326	Myalgia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003394	Muscle spasm
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0000508	Ptosis
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0007695	Abnormal pupillary light reflex
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030211	Slow pupillary light response
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001558	Decreased fetal movement
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001315	Reduced tendon reflexes 
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0031826	Abnormal reflex
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001284	Areflexia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001265	Hyporeflexia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002600	Hyporeflexia of lower limbs
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002522	Areflexia of lower limbs
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002098	Respiratory distress
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002104	Apnea
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002878	Respiratory failure
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0004887	Respiratory failure requiring assisted ventilation
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002643	Neonatal respiratory distress
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0005949	Apneic episodes in infancy
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0004889	Intermittent episodes of respiratory insufficiency due to muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0004347	Weakness of muscles of respiration
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0004885	Episodic respiratory distress
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002747	Respiratory insufficiency due to muscle weakness
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002093	Respiratory insufficiency
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0032341	Reduced forced vital capacity
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002650	Scoliosis
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002751	Kyphoscoliosis
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030006	Single fiber EMG abnormality
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030205	Increased jitter at single fiber EMG
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0008180	Mildly elevated creatine kinase
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0003236	Elevated circulating creatine kinase concentration
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0040081	Abnormal circulating creatine kinase concentration
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030202	Favorable response of weakness to acetylcholine esterase inhibitors
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0030203	Unfavorable response of muscle weakness to acetylcholine esterase inhibitors
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0000651	Diplopia
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002804	Arthrogryposis multiplex congenita
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0002882	Sudden episodic apnea
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0000218	High palate
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001612	Weak cry
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0033454	Tube feeding
http://www.orpha.net/ORDO/Orphanet_590	CMS	RO:0004029	disease has feature	some	HP:0001249	Intellectual disability
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0002828	Multiple joint contractures
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0012768	Neonatal asphyxia
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0002483	Bulbar signs
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0025156	Dependency on intravenous nutrition
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0033994	Dependency on parenteral nutrition
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0030884	Gastrojejunal tube feeding in infancy
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0040288	Nasogastric tube feeding
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0031063	Impaired feeding ability
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0033454	Tube feeding
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0011471	Gastrostomy tube feeding in infancy
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0011470	Nasogastric tube feeding in infancy
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0001627	Abnormal heart morphology
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0030872	Abnormal cardiac ventricular function
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0001713	Abnormal cardiac ventricle morphology
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0001638	Cardiomyopathy 
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0005216	Impaired mastication
http://www.orpha.net/ORDO/Orphanet_97245	CM	RO:0004029	disease has feature	some	HP:0030193	Fatigable weakness of chewing muscles
