ID,Label,Definition,Commentaire,Definition Source,See Also,Editor,Type,Parent Class,Disjoint Class,Equivalent Class,Domain,Range,Individual has value
ID,A rdfs:label,A IAO:0000115,A rdfs:comment,>A IAO:0000119,AI rdfs:seeAlso,A IAO:0000117,TYPE,SC % SPLIT=|,DC %,EC %,DOMAIN,RANGE,TI SIO:000300 exactly %
SIO:010057,,,,,,,,SIO:000475|(SIO:000218 some PROMOT:3000001) or (SIO:000218 some SNOMED:125679009),,,,,
SIO:000217,,,,,,,Object property,,,,,,
SIO:000300,,,,,,,Data property,,,,,xsd:date,
SIO:000475,,,,,,,,BFO:0000019,,,,,
SIO:001268,,,,,,,,SIO:000475|(SIO:000218 some PROMOT:0000001),,,,,
RO:0004029,,,,,,,Object property,,,,,,
RO:0004003,,,,,,,Object property,,,,,,
RO:0002201,,,,,,,Object property,,,,,,
RO:0002351,,,,,,,Object property,,,,PROMOT:4000001,,
HP:0000118,,,,,,,,PROMOT:8000001|(RO:0002201 some PROMOT:3000001)|(SIO:000217 some PROMOT:6000001),,,,,
HP:0012823,,,,,,,,BFO:0000019|(SIO:000218 some HP:0000118),,,,,
HP:0025280,,,,,,,,HP:0012823,,,,,
HP:0012824,,,,,,,,HP:0012823,,,,,
SCDO:1000194,,,,,,,Object property,,,,,,
SNOMED:386053000,,,,,,,,BFO:0000015|(PROMOT:2000003 some PROMOT:3000001),,,,,
SNOMED:360296002,,,,,,,,BFO:0000030|(PROMOT:2000002 some PROMOT:3000001),,,,,
SNOMED:224899006,,,,,,,,SNOMED:360296002,,,,,
SNOMED:183135000,,,,,,,,BFO:0000030,,,,,
SNOMED:302147001,,,,,,,,,,,,,
SNOMED:224076006,,,,,,,,SNOMED:302147001,,,,,
SNOMED:57427004,,,,,,,,IAO:0000030,,,,,
SNOMED:184099003,,,,,,,,,,,,,
SNOMED:160476009,,,,,,,,IAO:0000030,,,,,
SNOMED:298059007,,,,,,,,IAO:0000030,,,,,
SNOMED:399753006,,,,,,,,IAO:0000030,,,,,
SNOMED:125678001,,,,,,,,SNOMED:125679009,,,,,
SNOMED:78272007,,,,,,,,SNOMED:125679009,,,,,
SNOMED:21093007,,,,,,,,SNOMED:125679009,,,,,
SNOMED:363787002,,,,,,,,IAO:0000030,,,,,
SNOMED:125679009,,,,,,,,NCBITaxon:9606|(BIOLINK:related_to some Patient)|(SIO:000217 some SIO:010057),,,,,
NCBITaxon:9606,,,,,,,,,,,,,
VO:0001039,,,,,,,Object property,,,,,,
IAO:0000030,,,,,,,,BFO:0000031,,,,,
OBI:0100026,,,,,,,,BFO:0000040,,,,,
BIOLINK:affects,affects,Describes an entity that has an effect on the state or quality of another existing entity.,https://bioportal.bioontology.org/ontologies/BIOLINK,,https://biolink.github.io/biolink-model/,,Object property,,,,,,
BIOLINK:related_to,related to,A relationship that is asserted between two named things,https://bioportal.bioontology.org/ontologies/BIOLINK,,https://biolink.github.io/biolink-model/,,Object property,,,,,,
PROMOT:0000001,mutation,,,,,Juliette Potier,,BFO:0000002|(SIO:000217 some SIO:001268)|(RO:0004013 some MONDO:0000001),,,,,
PROMOT:0000002,PABPN1 mutation,Mutation located within the PABPN1 gene,Related to oculopharyngeal muscular dystrophy,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000003,RYR1 mutation,Mutation located within the RYR1 gene,Related to congenital myopathies,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000004,TTN mutation,Mutation located within the TTN gene,Related to congenital myopathies,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000005,NEB mutation,Mutation located within the NEB gene,Related to congenital myopathies,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000006,MTM1 mutation,Mutation located within the MTM1 gene,Related to congenital myopathies,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000007,ACTA1 mutation,Mutation located within the ACTA1 gene,Related to congenital myopathies,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000008,SELENON mutation,Mutation located within the SELENON gene,Related to congenital myopathies,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000009,CHRNE mutation,Mutation located within the CHRNE gene,Related to congenital myasthenic syndromes,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000010,DOK7 mutation,Mutation located within the DOK7 gene,Related to congenital myasthenic syndromes,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000011,COLQ mutation,Mutation located within the COLQ gene,Related to congenital myasthenic syndromes,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000012,RAPSN mutation,Mutation located within the RAPSN gene,Related to congenital myasthenic syndromes,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000013,GFPT1 mutation,Mutation located within the GFPT1 gene,Related to congenital myasthenic syndromes,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000014,GMPPB mutation,Mutation located within the GMPPB gene,Related to congenital myasthenic syndromes,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:1000001,found in,Indicates the source of the class.,,,,Juliette Potier,Annotation property,,,,,xsd:string,
PROMOT:2000001,is location of,"A relation between a phenotypically related anatomical entity and a phenotype, where the phenotype is located in the phenotypically related anatomical entity.",,,,Juliette Potier,Object property,,,,PROMOT:7000001,HP:0000118,
PROMOT:2000002,is used by,"A relation between a device and a patient, where the patient uses an assistive equipment in order to move or to accomplish something, such as a task or an activity.",,,,Juliette Potier,Object property,,,,SNOMED:360296002,PROMOT:3000001,
PROMOT:2000003,assesses,"A relation between an evaluation procedure and a patient, where the patient is assessed by an evaluation procedure, such as a test, a questionnaire or a scale.",,,,Juliette Potier,Object property,,,,SNOMED:386053000,PROMOT:3000001,
PROMOT:3000001,Patient,A participant of PROMOT,,,,,,NCBITaxon:9606|(VO:0001039 some PROMOT:0000001)|(SIO:000217 some SIO:010057),,,,,
PROMOT:3100001,Medication,,,,,,,,,,,,
PROMOT:4000001,Statement,A statement about an entity such as a person or,,,,,,IAO:0000030,,,,,
PROMOT:4100001,Patient statement,A statement regarding a patient.,,,,Juliette Potier,,PROMOT:4600001,,,,,
PROMOT:4100015,Country of Birth statement,A statement regarding the country of birth of a patient,"Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z",,,Juliette Potier,,PROMOT:4000001 ,,,,,
PROMOT:4100012,Sex at Birth statement,A statement regarding the sex of a patient at birth.,"Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z",,,Juliette Potier,,PROMOT:4000001,,,,,
