ID	Label EN	Annotation	TYPE	Parent Class
ID	A rdfs:label	A PROMOT:1000001 SPLIT=|	TYPE	SC % SPLIT=|
http://www.orpha.net/ORDO/Orphanet_590	CMS			(RO:0004029 some HP:0002828)|(RO:0004029 some HP:0002483)|(RO:0004029 some HP:0005216)|(RO:0004029 some HP:0030193)|(RO:0004029 some HP:0001270)|(RO:0004029 some HP:0031936)|(RO:0004029 some HP:0033580)|(RO:0004029 some PROMOT:00)|(RO:0004029 some HP:0002015)|(RO:0004029 some HP:0002068)|(RO:0004029 some HP:0200136)|(RO:0004029 some HP:0001618)|(RO:0004029 some HP:0001609)|(RO:0004029 some HP:0030000)|(RO:0004029 some HP:0003398)|(RO:0004029 some HP:0003458)|(RO:0004029 some HP:0003445)|(RO:0004029 some HP:0003403)|(RO:0004029 some HP:0011968)|(RO:0004029 some HP:0008872)|(RO:0004029 some HP:0002033)|(RO:0004029 some HP:0031914)|(RO:0004029 some HP:0003323)|(RO:0004029 some HP:0001288)|(RO:0004029 some HP:0002515)|(RO:0004029 some HP:0002359)|(RO:0004029 some HP:0002540)|(RO:0004029 some HP:0009046)|(RO:0004029 some HP:0002505)|(RO:0004029 some HP:0003473)|(RO:0004029 some HP:0030196)|(RO:0004029 some HP:0030198)|(RO:0004029 some HP:0030199)|(RO:0004029 some HP:0030200)|(RO:0004029 some HP:0030192)|(RO:0004029 some HP:0030194)|(RO:0004029 some HP:0030195)|(RO:0004029 some HP:0030197)|(RO:0004029 some HP:0003391)|(RO:0004029 some HP:0003307)|(RO:0004029 some HP:0001252)|(RO:0004029 some HP:0001319)|(RO:0004029 some HP:0001324)|(RO:0004029 some HP:0000467)|(RO:0004029 some HP:0030319)|(RO:0004029 some HP:0000597)|(RO:0004029 some HP:0007715)|(RO:0004029 some HP:0003327)|(RO:0004029 some HP:0004878)|(RO:0004029 some HP:0009023)|(RO:0004029 some HP:0003722)|(RO:0004029 some HP:0003690)|(RO:0004029 some HP:0009053)|(RO:0004029 some HP:0008959)|(RO:0004029 some HP:0007340)|(RO:0004029 some HP:0003484)|(RO:0004029 some HP:0003325)|(RO:0004029 some HP:0003701)|(RO:0004029 some HP:0002460)|(RO:0004029 some HP:0009028)|(RO:0004029 some HP:0011727)|(RO:0004029 some HP:0030237)|(RO:0004029 some HP:0009063)|(RO:0004029 some HP:0009073)|(RO:0004029 some HP:0008963)|(RO:0004029 some HP:0003427)|(RO:0004029 some HP:0008994)|(RO:0004029 some HP:0003749)|(RO:0004029 some HP:0003392)|(RO:0004029 some HP:0003731)|(RO:0004029 some HP:0003694)|(RO:0004029 some HP:0003810)|(RO:0004029 some HP:0008997)|(RO:0004029 some HP:0003547)|(RO:0004029 some HP:0009005)|(RO:0004029 some HP:0033416)|(RO:0004029 some HP:0012515)|(RO:0004029 some HP:0009027)|(RO:0004029 some HP:0031108)|(RO:0004029 some HP:0031374)|(RO:0004029 some HP:0031177)|(RO:0004029 some HP:0009077)|(RO:0004029 some HP:0000602)|(RO:0004029 some HP:0000544)|(RO:0004029 some HP:0000496)|(RO:0004029 some HP:0007941)|(RO:0004029 some HP:0012531)|(RO:0004029 some HP:0003326)|(RO:0004029 some HP:0003394)|(RO:0004029 some HP:0000508)|(RO:0004029 some HP:0007695)|(RO:0004029 some HP:0030211)|(RO:0004029 some HP:0001558)|(RO:0004029 some HP:0001315)|(RO:0004029 some HP:0031826)|(RO:0004029 some HP:0001284)|(RO:0004029 some HP:0001265)|(RO:0004029 some HP:0002600)|(RO:0004029 some HP:0002522)|(RO:0004029 some HP:0002098)|(RO:0004029 some HP:0002104)|(RO:0004029 some HP:0002878)|(RO:0004029 some HP:0004887)|(RO:0004029 some HP:0002643)|(RO:0004029 some HP:0005949)|(RO:0004029 some HP:0004889)|(RO:0004029 some HP:0004347)|(RO:0004029 some HP:0004885)|(RO:0004029 some HP:0002747)|(RO:0004029 some HP:0002093)|(RO:0004029 some HP:0032341)|(RO:0004029 some HP:0002650)|(RO:0004029 some HP:0002751)|(RO:0004029 some HP:0030006)|(RO:0004029 some HP:0030205)|(RO:0004029 some HP:0008180)|(RO:0004029 some HP:0003236)|(RO:0004029 some HP:0040081)|(RO:0004029 some HP:0030202)|(RO:0004029 some HP:0030203)|(RO:0004029 some HP:0000651)|(RO:0004029 some HP:0002804)|(RO:0004029 some HP:0002882)|(RO:0004029 some HP:0000218)|(RO:0004029 some HP:0001612)|(RO:0004029 some HP:0033454)|(RO:0004029 some HP:0001249)
http://www.orpha.net/ORDO/Orphanet_97245	CM			(RO:0004029 some HP:0002828)|(RO:0004029 some HP:0012768)|(RO:0004029 some HP:0002483)|(RO:0004029 some HP:0025156)|(RO:0004029 some HP:0033994)|(RO:0004029 some HP:0030884)|(RO:0004029 some HP:0040288)|(RO:0004029 some HP:0031063)|(RO:0004029 some HP:0033454)|(RO:0004029 some HP:0011471)|(RO:0004029 some HP:0011470)|(RO:0004029 some HP:0001627)|(RO:0004029 some HP:0030872)|(RO:0004029 some HP:0001713)|(RO:0004029 some HP:0001638)|(RO:0004029 some HP:0005216)|(RO:0004029 some HP:0030193)|(RO:0004029 some HP:0001374)|(RO:0004029 some HP:0001270)|(RO:0004029 some HP:0031936)|(RO:0004029 some HP:0002015)|(RO:0004029 some HP:0002068)|(RO:0004029 some HP:0200136)|(RO:0004029 some HP:0001618)|(RO:0004029 some HP:0001609)|(RO:0004029 some HP:0000276)|(RO:0004029 some HP:0011968)|(RO:0004029 some HP:0008872)|(RO:0004029 some HP:0001508)|(RO:0004029 some HP:0001531)|(RO:0004029 some HP:0002033)|(RO:0004029 some HP:0031914)|(RO:0004029 some HP:0003323)|(RO:0004029 some HP:0001288)|(RO:0004029 some HP:0002515)|(RO:0004029 some HP:0002359)|(RO:0004029 some HP:0002540)|(RO:0004029 some HP:0009046)|(RO:0004029 some HP:0002505)|(RO:0004029 some HP:0003473)|(RO:0004029 some HP:0030196)|(RO:0004029 some HP:0030198)|(RO:0004029 some HP:0030199)|(RO:0004029 some HP:0030200)|(RO:0004029 some HP:0030192)|(RO:0004029 some HP:0030194)|(RO:0004029 some HP:0030195)|(RO:0004029 some HP:0030197)|(RO:0004029 some HP:0003391)|(RO:0004029 some HP:0000218)|(RO:0004029 some HP:0002705)|(RO:0004029 some HP:0003307)|(RO:0004029 some HP:0001252)|(RO:0004029 some HP:0001319)|(RO:0004029 some HP:0002047)|(RO:0004029 some HP:0001324)|(RO:0004029 some HP:0000467)|(RO:0004029 some HP:0030319)|(RO:0004029 some HP:0007715)|(RO:0004029 some HP:0000597)|(RO:0004029 some HP:0003327)|(RO:0004029 some HP:0004878)|(RO:0004029 some HP:0009023)|(RO:0004029 some HP:0003722)|(RO:0004029 some HP:0003690)|(RO:0004029 some HP:0009053)|(RO:0004029 some HP:0008959)|(RO:0004029 some HP:0007340)|(RO:0004029 some HP:0003484)|(RO:0004029 some HP:0003325)|(RO:0004029 some HP:0003701)|(RO:0004029 some HP:0002460)|(RO:0004029 some HP:0009028)|(RO:0004029 some HP:0011727)|(RO:0004029 some HP:0030237)|(RO:0004029 some HP:0009063)|(RO:0004029 some HP:0009073)|(RO:0004029 some HP:0008963)|(RO:0004029 some HP:0003427)|(RO:0004029 some HP:0008994)|(RO:0004029 some HP:0003749)|(RO:0004029 some HP:0003392)|(RO:0004029 some HP:0003731)|(RO:0004029 some HP:0003694)|(RO:0004029 some HP:0003810)|(RO:0004029 some HP:0008997)|(RO:0004029 some HP:0003547)|(RO:0004029 some HP:0009005)|(RO:0004029 some HP:0033416)|(RO:0004029 some HP:0012515)|(RO:0004029 some HP:0009027)|(RO:0004029 some HP:0031108)|(RO:0004029 some HP:0031374)|(RO:0004029 some HP:0031177)|(RO:0004029 some HP:0009077)|(RO:0004029 some HP:0002058)|(RO:0004029 some HP:0000602)|(RO:0004029 some HP:0000544)|(RO:0004029 some HP:0000496)|(RO:0004029 some HP:0007941)|(RO:0004029 some HP:0001761)|(RO:0004029 some HP:0000768)|(RO:0004029 some HP:0000767)|(RO:0004029 some HP:0001622)|(RO:0004029 some HP:0000508)|(RO:0004029 some HP:0001558)|(RO:0004029 some HP:0001989)|(RO:0004029 some HP:0001284)|(RO:0004029 some HP:0001265)|(RO:0004029 some HP:0002600)|(RO:0004029 some HP:0002522)|(RO:0004029 some HP:0001315)|(RO:0004029 some HP:0031826)|(RO:0004029 some HP:0004347)|(RO:0004029 some HP:0002104)|(RO:0004029 some HP:0002098)|(RO:0004029 some HP:0002878)|(RO:0004029 some HP:0004887)|(RO:0004029 some HP:0004885)|(RO:0004029 some HP:0002643)|(RO:0004029 some HP:0004889)|(RO:0004029 some HP:0005949)|(RO:0004029 some HP:0002093)|(RO:0004029 some HP:0002747)|(RO:0004029 some HP:0032341)|(RO:0004029 some HP:0003306)|(RO:0004029 some HP:0002650)|(RO:0004029 some HP:0002751)|(RO:0004029 some HP:6000327)|(RO:0004029 some HP:0001547)|(RO:0004029 some HP:0000886)|(RO:0004029 some HP:0003691)|(RO:0004029 some HP:0000774)|(RO:0004029 some HP:0002808)|(RO:0004029 some HP:0000028)|(RO:0004029 some HP:0030000)|(RO:0004029 some HP:0003398)|(RO:0004029 some HP:0003458)|(RO:0004029 some HP:0003445)|(RO:0004029 some HP:0003403)|(RO:0004029 some HP:0003236)|(RO:0004029 some HP:0008180)|(RO:0004029 some HP:0040081)|(RO:0004029 some HP:0003552)|(RO:0004029 some HP:0002804)|(RO:0004029 some HP:0004322)|(RO:0004029 some HP:0001249)|(RO:0004029 some HP:0004325)|(RO:0004029 some HP:0003457)|(RO:0004029 some HP:0001387)|(RO:0004029 some HP:0000486)
PROMOT:0000028	statement about a human			(RO:0002351 some NCBITaxon:9606)|(RO:0002351 some http://snomed.info/id/184099003)|(RO:0002351 some PROMOT:0000038)|(RO:0002351 some http://snomed.info/id/399753006)|(RO:0002351 some PROMOT:0000040)|(RO:0002351 some PROMOT:0000066)|(RO:0002351 some PROMOT:0000041)|(RO:0002351 some PROMOT:0000043)|(RO:0002351 some http://snomed.info/id/184305005)|(RO:0002351 some PROMOT:0000042)
PROMOT:0000029	statement about a patient			(RO:0002351 some PROMOT:0000025)|(RO:0002351 some http://snomed.info/id/399423000)|(RO:0002351 some http://snomed.info/id/315354004)|(RO:0002351 some http://snomed.info/id/57427004)|(RO:0002351 some http://snomed.info/id/424850005)|(RO:0002351 some http://snomed.info/id/423493009)|(RO:0002351 some http://snomed.info/id/432213005)|(RO:0002351 some PROMOT:0000039)|(RO:0002351 some http://snomed.info/id/406543005)|(RO:0002351 some http://snomed.info/id/27113001)|(RO:0002351 some http://snomed.info/id/1153637007)|(RO:0002351 some http://snomed.info/id/60621009)|(RO:0002351 some http://snomed.info/id/398192003)|(RO:0002351 some http://snomed.info/id/33821000087103)|(RO:0002351 some http://snomed.info/id/186034007)|(RO:0002351 some http://snomed.info/id/184104002)|(RO:0002351 some http://snomed.info/id/224288002)|(RO:0002351 some http://snomed.info/id/125680007)|(RO:0002351 some SNOMED:224118004)|(RO:0002351 some PROMOT:0000077)|(RO:0002351 some PROMOT:0000078)
PROMOT:0000030	statement about a phenotype			(RO:0002351 some HP:0000118)|(RO:0002351 some http://snomed.info/id/298059007)|(RO:0002351 some PROMOT:0000037)|(RO:0002351 some PROMOT:0000035)|(RO:0002351 some PROMOT:0000036)|(RO:0002351 some ECO:0006151)
PROMOT:0000031	statement about a procedure			(RO:0002351 some http://snomed.info/id/128927009)|(RO:0002351 some http://snomed.info/id/439272007)|(RO:0002351 some PROMOT:0000033)
PROMOT:0000032	statement about a consent			(RO:0002351 some PROMOT:0000097)|(RO:0002351 some PROMOT:0000098)|(RO:0002351 some PROMOT:0000089)|(RO:0002351 some PROMOT:0000096)
HP:0001249	Intellectual disability			(PROMOT:2000005 some http://id.who.int/icd/entity/1525383756)|(PROMOT:2000005 some http://id.who.int/icd/entity/1363559646)
HP:0012378	Fatigue			(PROMOT:2000005 some http://id.who.int/icd/entity/1864074583)
HP:0000651	Diplopia			(PROMOT:2000005 some http://id.who.int/icd/entity/2022689055)
