ID	Label EN	Label EN annotation	Definition EN	Definition EN Source	Definition EN Comment	Commentaire	Commentaire.1	Commentaire.2	See Also	Term Editor	Commentaire.3	CrossRef	Change Note	Close match	Type	Parent Class	Equivalent Class	Domain	Range	Annotation
ID	AL rdfs:label@en	>A rdfs:comment	AL IAO:0000115@en	>A IAO:0000119	>A rdfs:comment	A rdfs:comment	A rdfs:comment	A rdfs:comment	AI rdfs:seeAlso SPLIT=|	A IAO:0000117	A rdfs:comment SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	AL skos:changeNote@en	A skos:closeMatch SPLIT=|	TYPE	SC % SPLIT=|	EC %	DOMAIN	RANGE	A PROMOT:1000001 SPLIT=|
FMA:323229	Pterygoid muscle															(RO:0000091 some HP:0005216)|(RO:0000091 some HP:0030193)|(RO:0000091 some PROMOT:0032023)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032046)|(RO:0002328 some PROMOT:0032082)				
FMA:33531	Muscle of shoulder															(RO:0000091 some HP:0008997)|(RO:0000091 some HP:0003547)|(RO:0000091 some HP:0003701)|(RO:0000091 some HP:0003484)|(RO:0000091 some HP:0003325)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009073)|(RO:0000091 some HP:0030200)|(RO:0000091 some HP:0009028)|(RO:0000091 some HP:0003694)|(RO:0000091 some HP:0003691)|(RO:0001025 some ICF:278512890)|(RO:0002328 some PROMOT:0032051)|(RO:0002328 some PROMOT:0032087)				
FMA:35178	Hip joint															(RO:0000091 some HP:0001374)|(RO:0001025 some ICF:1401748164)				
FMA:37367	Muscle of pelvic gridle															(RO:0000091 some HP:0008994)|(RO:0000091 some HP:0003749)|(RO:0000091 some HP:0003701)|(RO:0000091 some HP:0007340)|(RO:0000091 some HP:0003325)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009073)|(RO:0000091 some HP:0008988)|(RO:0000091 some HP:0030200)|(RO:0000091 some HP:0009028)|(RO:0000091 some HP:0003694)|(RO:0001025 some ICF:793188683)|(RO:0002328 some PROMOT:0032044)|(RO:0002328 some PROMOT:0032080)				
FMA:37369	Muscle of foot															(RO:0000091 some HP:0009053)|(RO:0000091 some HP:0009027)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0007340)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0030198)|(RO:0000091 some HP:0009028)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:1278239861)|(RO:0002328 some PROMOT:0032032)|(RO:0002328 some PROMOT:0032068)				
FMA:37370	Muscle of arm															(RO:0000091 some HP:0008997)|(RO:0000091 some HP:0003701)|(RO:0000091 some HP:0003484)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009073)|(RO:0000091 some HP:0030200)|(RO:0000091 some HP:0009028)|(RO:0000091 some HP:0003694)|(RO:0001025 some ICF:1867012554)|(RO:0002328 some PROMOT:0032025)|(RO:0002328 some PROMOT:0032061)				
FMA:37371	Muscle of forearm															(RO:0000091 some HP:0008959)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0003484)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0030198)|(RO:0000091 some HP:0009028)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:294830867)|(RO:0002328 some PROMOT:0032033)|(RO:0002328 some PROMOT:0032069)				
FMA:37372	Muscle of hand															(RO:0000091 some HP:0008959)|(RO:0000091 some HP:0030237)|(RO:0000091 some HP:0031177)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0003484)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0033466)|(RO:0000091 some HP:0030198)|(RO:0000091 some HP:0009028)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:1233939003)|(RO:0002328 some PROMOT:0032034)|(RO:0002328 some PROMOT:0032070)				
FMA:37424	First dorsal interosseous of hand															(RO:0000091 some HP:0008959)|(RO:0000091 some HP:0003392)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0003484)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:1233939003)|(RO:0002328 some PROMOT:0032031)|(RO:0002328 some PROMOT:0032067)				
FMA:37688	Triceps brachii															(RO:0000091 some HP:0008997)|(RO:0000091 some HP:0031108)|(RO:0000091 some HP:0003701)|(RO:0000091 some HP:0003484)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009073)|(RO:0000091 some HP:0003694)|(RO:0001025 some ICF:1867012554)|(RO:0002328 some PROMOT:0032059)|(RO:0002328 some PROMOT:0032095)				
FMA:38500	Extensor digitorum															(RO:0000091 some HP:0008959)|(RO:0000091 some HP:0009077)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0003484)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:1233939003)|(RO:0002328 some PROMOT:0032028)|(RO:0002328 some PROMOT:0032064)				
FMA:42380	Intrinsic muscle of hand															(RO:0000091 some HP:0008959)|(RO:0000091 some HP:0009005)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0003484)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:1233939003)|(RO:0002328 some PROMOT:0032037)|(RO:0002328 some PROMOT:0032073)				
FMA:46619	Muscle of pharynx 															(RO:0000091 some HP:0002483)|(RO:0000091 some HP:0030192)|(RO:0000091 some HP:0030195)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032041)|(RO:0002328 some PROMOT:0032077)				
FMA:46689	Muscle of tongue															(RO:0000091 some HP:0005216)|(RO:0000091 some HP:0000183)|(RO:0000091 some HP:0030193)|(RO:0000091 some PROMOT:0032023)|(RO:0000091 some HP:0012473)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032057)|(RO:0002328 some PROMOT:0032093)				
FMA:46751	Muscle of face															(RO:0000091 some HP:0030319)|(RO:0000091 some PROMOT:0032012)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032030)|(RO:0002328 some PROMOT:0032066)				
FMA:46834	Buccinator															(RO:0000091 some HP:0005216)|(RO:0000091 some HP:0030193)|(RO:0000091 some PROMOT:0032023)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032026)|(RO:0002328 some PROMOT:0032062)				
FMA:48996	Masseter															(RO:0000091 some HP:0005216)|(RO:0000091 some HP:0030193)|(RO:0000091 some PROMOT:0032023)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032039)|(RO:0002328 some PROMOT:0032075)				
FMA:49006	Temporalis															(RO:0000091 some HP:0005216)|(RO:0000091 some HP:0030193)|(RO:0000091 some PROMOT:0032023)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032052)|(RO:0002328 some PROMOT:0032088)				
FMA:49033	Extra-ocular muscle															(RO:0000091 some HP:0007715)|(RO:0000091 some HP:0000597)|(RO:0000091 some PROMOT:0032013)|(RO:0000091 some HP:0000651)|(RO:0000091 some HP:0000602)|(RO:0000091 some HP:0000544)|(RO:0000091 some HP:0000508)|(RO:0000091 some HP:0000496)|(RO:0000091 some HP:0007941)|(RO:0000091 some HP:0000486)|(RO:0000091 some HP:0007838)|(RO:0000091 some PROMOT:0032016)|(RO:0001025 some ICF:1874889854)|(RO:0001025 some ICF:405925948)|(RO:0002328 some PROMOT:0032029)|(RO:0002328 some PROMOT:0032065)				
FMA:50208	Musculature of thigh															(RO:0000091 some HP:0008994)|(RO:0000091 some HP:0033416)|(RO:0000091 some HP:0012515)|(RO:0000091 some HP:0003701)|(RO:0000091 some HP:0007340)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009073)|(RO:0000091 some HP:0030200)|(RO:0000091 some HP:0009028)|(RO:0000091 some HP:0003694)|(RO:0001025 some ICF:1794398084)|(RO:0002328 some PROMOT:0032054)|(RO:0002328 some PROMOT:0032090)				
FMA:51099	Tibialis posterior															(RO:0000091 some HP:0009053)|(RO:0000091 some HP:0008963)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0007340)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:338611549)|(RO:0002328 some PROMOT:0032056)|(RO:0002328 some PROMOT:0032092)				
FMA:58274	Muscle of trunk															(RO:0000091 some HP:0009023)|(RO:0000091 some PROMOT:0032014)|(RO:0000091 some HP:0003327)|(RO:0001025 some ICF:58064740)|(RO:0002328 some PROMOT:0032042)|(RO:0002328 some PROMOT:0032078)				
FMA:62955	Anatomical entity														Class	BFO:0000040				
FMA:64916	Thenar muscle															(RO:0000091 some HP:0008959)|(RO:0000091 some HP:0003427)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0003484)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:1233939003)|(RO:0002328 some PROMOT:0032053)|(RO:0002328 some PROMOT:0032089)				
FMA:67169	Set of pharyngeal muscles															(RO:0000091 some HP:0002483)|(RO:0000091 some HP:0030192)|(RO:0000091 some HP:0030195)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032045)|(RO:0002328 some PROMOT:0032081)				
FMA:7088	Heart															(RO:0000091 some HP:0001627)|(RO:0000091 some HP:0030872)|(RO:0000091 some HP:0001713)|(RO:0000091 some HP:0001638)|(RO:0001025 some ICF:834607195)				
FMA:71437	Set of masticatory muscles															(RO:0000091 some HP:0005216)|(RO:0000091 some HP:0030193)|(RO:0000091 some PROMOT:0032023)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032040)|(RO:0002328 some PROMOT:0032076)				
FMA:74081	Set of intercostal muscles															(RO:0000091 some HP:0030196)|(RO:0001025 some ICF:495844982)|(RO:0002328 some PROMOT:0032036)|(RO:0002328 some PROMOT:0032072)				
FMA:7490	Joint															(RO:0000091 some HP:0002828)|(RO:0000091 some HP:0001387)|(RO:0000091 some HP:0002804)|(RO:0000091 some HP:0034392)|(RO:0000091 some HP:0001382)|(RO:0001025 some ICF:462923277)				
FMA:9617	Muscle of neck															(RO:0000091 some HP:0000467)|(RO:0000091 some HP:0003722)|(RO:0000091 some HP:0030199)|(RO:0001025 some ICF:1874889854)|(RO:0002328 some PROMOT:0032043)|(RO:0002328 some PROMOT:0032079)				
FMA:9620	Muscle of abdomen															(RO:0000091 some HP:0009023)|(RO:0000091 some PROMOT:0032014)|(RO:0000091 some HP:0003327)|(RO:0001025 some ICF:58064740)|(RO:0002328 some PROMOT:0032024)|(RO:0002328 some PROMOT:0032060)				
FMA:9626	Trapezius 															(RO:0000091 some HP:0003691)|(RO:0001025 some ICF:278512890)|(RO:0002328 some PROMOT:0032058)|(RO:0002328 some PROMOT:0032094)				
HP:0000005	Mode of inheritance						[PROMOT note] [Derived from EURO-NMD NMD-CDE] [gendia_inher]				[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class	BFO:0000019				
HP:0000006	Autosomal dominant inheritance						[PROMOT note] [Derived from EURO-NMD NMD-CDE] [gendia_inher]				[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class					
HP:0000006	Autosomal dominant inheritance																			[OPMD HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.|[Congenital Myasthenic syndrom HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.|[Congenital Myopathy HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.
HP:0000007	Autosomal recessive inheritance						[PROMOT note] [Derived from EURO-NMD NMD-CDE] [gendia_inher]				[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class					
HP:0000007	Autosomal recessive inheritance																			[OPMD Clinical Expert] https://orcid.org/0000-0003-2829-8470|[Congenital Myasthenic syndrom HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.|[Congenital Myopathy HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.
HP:0000028	Cryptorchidism															(PROMOT:2000001 some ICF:859818654)|(PROMOT:2000005 some SNOMED:84100007)				
HP:0000028	Cryptorchidism																			"[Congenital myopathy Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital Myopathy HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975."
HP:0000118	Phenotypic abnormality					[PROMOT note] [Derived from RD-CDM] [6.2.1 Phenotypic Feature]	[PROMOT note] [Derived from EURO-NMD NMD-CDE] 				[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z|[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.	http://snomed.info/id/8116006	[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity. A crossref to the orignal element has also been added.		Class	PROMOT:0032001|(RO:0000086 some PROMOT:0031007)|(RO:0000086 some HP:0012823)|(PROMOT:2000005 some SNOMED:128927009)				
HP:0000183	Tongue muscle weakness															(PROMOT:2000001 some ICF:1328675264)|(PROMOT:2000001 some ICF:553784299)|(PROMOT:2000001 some ICF:151046878)|(PROMOT:2000001 some PROMOT:0032093)|(PROMOT:2000005 some (SNOMED:12894003 OR SNOMED:84100007))				
HP:0000183	Tongue muscle weakness																			"[OPMD Clinical Registry Form] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/"
HP:0000218	High palate															(PROMOT:2000005 some SNOMED:84100007)				
HP:0000218	High palate																			"[Congenital Myasthenic syndrom HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.|[Congenital myopathy Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital Myopathy HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975."
HP:0000276	Long face															(PROMOT:2000005 some SNOMED:84100007)				
HP:0000276	Long face																			"[Congenital myopathy Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital Myopathy HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975."
HP:0000467	Neck muscle weakness						[PROMOT note] [Present in EURO-NMD NMD-CDE] [has_neck_weakness]				[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class					
HP:0000467	Neck muscle weakness															(PROMOT:2000001 some ICF:2048203604)|(PROMOT:2000001 some PROMOT:0032079)|(PROMOT:2000005 some SNOMED:84100007)				
HP:0000467	Neck muscle weakness																			"[OPMD Scoping review 2026] Bélair N, Gagnon C, Duchesne E. What is known about muscle weakness, balance impairments and indoor mobility limitations in oculopharyngeal muscular dystrophy? A scoping review. J Neuromuscul Dis. 2025 Dec 30:22143602251397052. doi: 10.1177/22143602251397052. Epub ahead of print. PMID: 41467981.|[OPMD HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.|[Congenital myasthenic syndrom Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital Myasthenic syndrom HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.|[Congenital myopathy Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital Myopathy HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975."
HP:0000486	Strabismus															(PROMOT:2000001 some PROMOT:0032065)|(PROMOT:2000005 some SNOMED:84100007)				
HP:0000486	Strabismus																			[Congenital Myopathy HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.
HP:0000496	Abnormality of eye movement															(PROMOT:2000001 some ICF:1090716697)|(PROMOT:2000001 some PROMOT:0032065)|(PROMOT:2000005 some SNOMED:84100007)				
HP:0000496	Abnormality of eye movement																			"[Congenital myasthenic syndrom Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital Myasthenic syndrom HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.|[Congenital myopathy Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/"
HP:0000508	Ptosis															(PROMOT:2000001 some ICF:2021370201)|(PROMOT:2000001 some PROMOT:0032065)|(PROMOT:2000005 some SNOMED:84100007)				
HP:0000508	Ptosis																			"[OPMD Clinical Registry Form] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[OPMD HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.|[OPMD Clinical Research Form] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital myasthenic syndrom Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital Myasthenic syndrom HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975.|[Congenital myopathy Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital Myopathy HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975."
HP:0000544	External ophthalmoplegia															(PROMOT:2000001 some ICF:1090716697)|(PROMOT:2000001 some PROMOT:0032065)|(PROMOT:2000005 some SNOMED:84100007)				
HP:0000544	External ophthalmoplegia																			"[OPMD Clinical Registry Form] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital myasthenic syndrom Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital myopathy Scoping review] ""Performing a Rare Disease-Oriented Master Observational Trial"" initiative, European Joint Programme on Rare Diseases, https://www.promotinitiative.com/|[Congenital Myopathy HPO KB associations] Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, et al. The Human Phenotype Ontology in 2024: phenotypes around the world. Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005. PMID: 37953324; PMCID: PMC10767975."
HP:0000597	Ophthalmoparesis															(PROMOT:2000001 some ICF:1090716697)|(PROMOT:2000001 some PROMOT:0032065)|(PROMOT:2000005 some SNOMED:84100007)				
