IRI	skos:notation	skos:altLabel
https://data.esante.gouv.fr/terminologies/icf#109227		
https://data.esante.gouv.fr/terminologies/icf#109236		
https://data.esante.gouv.fr/terminologies/icf#109272		
https://data.esante.gouv.fr/terminologies/icf#10931	d7709	d7709 intimate relationships, unspecified
https://data.esante.gouv.fr/terminologies/icf#109367		
https://data.esante.gouv.fr/terminologies/icf#109480		
https://data.esante.gouv.fr/terminologies/icf#109503		
https://data.esante.gouv.fr/terminologies/icf#109587		
https://data.esante.gouv.fr/terminologies/icf#109637		
https://data.esante.gouv.fr/terminologies/icf#109660		
https://data.esante.gouv.fr/terminologies/icf#109701		
https://data.esante.gouv.fr/terminologies/icf#109774		
https://data.esante.gouv.fr/terminologies/icf#109786		
https://data.esante.gouv.fr/terminologies/icf#109837		
https://data.esante.gouv.fr/terminologies/icf#109842		
https://data.esante.gouv.fr/terminologies/icf#109858		
https://data.esante.gouv.fr/terminologies/icf#109910		
https://data.esante.gouv.fr/terminologies/icf#109952		
https://data.esante.gouv.fr/terminologies/icf#109957		
https://data.esante.gouv.fr/terminologies/icf#109977		
https://data.esante.gouv.fr/terminologies/icf#11004	s6304	s6304 testes and scrotum
https://data.esante.gouv.fr/terminologies/icf#110103		
https://data.esante.gouv.fr/terminologies/icf#110128		
https://data.esante.gouv.fr/terminologies/icf#110185		
https://data.esante.gouv.fr/terminologies/icf#110243		
https://data.esante.gouv.fr/terminologies/icf#110302		
https://data.esante.gouv.fr/terminologies/icf#110328		
https://data.esante.gouv.fr/terminologies/icf#110330		
https://data.esante.gouv.fr/terminologies/icf#110379		
https://data.esante.gouv.fr/terminologies/icf#110497		
https://data.esante.gouv.fr/terminologies/icf#110515		
https://data.esante.gouv.fr/terminologies/icf#110579		
https://data.esante.gouv.fr/terminologies/icf#110609		
https://data.esante.gouv.fr/terminologies/icf#110675		
https://data.esante.gouv.fr/terminologies/icf#110676		
https://data.esante.gouv.fr/terminologies/icf#110741		
https://data.esante.gouv.fr/terminologies/icf#110744		
https://data.esante.gouv.fr/terminologies/icf#11085	d4106	d4106 shifting the body's centre of gravity
https://data.esante.gouv.fr/terminologies/icf#110929		
https://data.esante.gouv.fr/terminologies/icf#110976		
https://data.esante.gouv.fr/terminologies/icf#110995		
https://data.esante.gouv.fr/terminologies/icf#111076		
https://data.esante.gouv.fr/terminologies/icf#111133		
https://data.esante.gouv.fr/terminologies/icf#111198		
https://data.esante.gouv.fr/terminologies/icf#111219		
https://data.esante.gouv.fr/terminologies/icf#111363		
https://data.esante.gouv.fr/terminologies/icf#111492		
https://data.esante.gouv.fr/terminologies/icf#111498		
https://data.esante.gouv.fr/terminologies/icf#111559		
https://data.esante.gouv.fr/terminologies/icf#111591		
https://data.esante.gouv.fr/terminologies/icf#11162	b6108	b6108 urinary excretory functions, other specified
https://data.esante.gouv.fr/terminologies/icf#111670		
https://data.esante.gouv.fr/terminologies/icf#111673		
https://data.esante.gouv.fr/terminologies/icf#111858		
https://data.esante.gouv.fr/terminologies/icf#11187	b1643	b1643 cognitive flexibility
https://data.esante.gouv.fr/terminologies/icf#111984		
https://data.esante.gouv.fr/terminologies/icf#111998		
https://data.esante.gouv.fr/terminologies/icf#112128		
https://data.esante.gouv.fr/terminologies/icf#112205		
https://data.esante.gouv.fr/terminologies/icf#112227		
https://data.esante.gouv.fr/terminologies/icf#11231	b2703	b2703 sensitivity to a noxious stimulus
https://data.esante.gouv.fr/terminologies/icf#112318		
https://data.esante.gouv.fr/terminologies/icf#11246	d810	d810 informal education
https://data.esante.gouv.fr/terminologies/icf#112547		
https://data.esante.gouv.fr/terminologies/icf#112565		
https://data.esante.gouv.fr/terminologies/icf#112638		
https://data.esante.gouv.fr/terminologies/icf#112674		
https://data.esante.gouv.fr/terminologies/icf#112774		
https://data.esante.gouv.fr/terminologies/icf#112887		
https://data.esante.gouv.fr/terminologies/icf#112958		
https://data.esante.gouv.fr/terminologies/icf#112998		
https://data.esante.gouv.fr/terminologies/icf#113027		
https://data.esante.gouv.fr/terminologies/icf#113040		
https://data.esante.gouv.fr/terminologies/icf#113103		
https://data.esante.gouv.fr/terminologies/icf#11323	d630-d649	household tasks (d630-d649)
https://data.esante.gouv.fr/terminologies/icf#113268		
https://data.esante.gouv.fr/terminologies/icf#113287		
https://data.esante.gouv.fr/terminologies/icf#113413		
https://data.esante.gouv.fr/terminologies/icf#113631		
https://data.esante.gouv.fr/terminologies/icf#113710		
https://data.esante.gouv.fr/terminologies/icf#113782		
https://data.esante.gouv.fr/terminologies/icf#113786		
https://data.esante.gouv.fr/terminologies/icf#114036		
https://data.esante.gouv.fr/terminologies/icf#114046		
https://data.esante.gouv.fr/terminologies/icf#114067		
https://data.esante.gouv.fr/terminologies/icf#114076		
https://data.esante.gouv.fr/terminologies/icf#114194		
https://data.esante.gouv.fr/terminologies/icf#114198		
https://data.esante.gouv.fr/terminologies/icf#114224		
https://data.esante.gouv.fr/terminologies/icf#114361		
https://data.esante.gouv.fr/terminologies/icf#114398		
https://data.esante.gouv.fr/terminologies/icf#11447	d4501	d4501 walking long distances
https://data.esante.gouv.fr/terminologies/icf#11450	b6400	b6400 functions of sexual arousal phase
https://data.esante.gouv.fr/terminologies/icf#11451	d4700	d4700 using human-powered vehicles
https://data.esante.gouv.fr/terminologies/icf#114510		
https://data.esante.gouv.fr/terminologies/icf#114576		
https://data.esante.gouv.fr/terminologies/icf#114593		
https://data.esante.gouv.fr/terminologies/icf#11479	d129	d129 purposeful sensory experiences, other specified and unspecified
https://data.esante.gouv.fr/terminologies/icf#114800		
https://data.esante.gouv.fr/terminologies/icf#114819		
https://data.esante.gouv.fr/terminologies/icf#114913		
https://data.esante.gouv.fr/terminologies/icf#114916		
https://data.esante.gouv.fr/terminologies/icf#115005		
https://data.esante.gouv.fr/terminologies/icf#11501	b7	neuromusculoskeletal and movement-related functions
https://data.esante.gouv.fr/terminologies/icf#115018		
https://data.esante.gouv.fr/terminologies/icf#115043		
https://data.esante.gouv.fr/terminologies/icf#115063		
https://data.esante.gouv.fr/terminologies/icf#115079		
https://data.esante.gouv.fr/terminologies/icf#115093		
https://data.esante.gouv.fr/terminologies/icf#115163		
https://data.esante.gouv.fr/terminologies/icf#115171		
https://data.esante.gouv.fr/terminologies/icf#115174		
https://data.esante.gouv.fr/terminologies/icf#115205		
https://data.esante.gouv.fr/terminologies/icf#115271		
https://data.esante.gouv.fr/terminologies/icf#115301		
https://data.esante.gouv.fr/terminologies/icf#11541	b130	b130 energy and drive functions
https://data.esante.gouv.fr/terminologies/icf#11551	d1709	d1709 writing, unspecified
https://data.esante.gouv.fr/terminologies/icf#115554		
https://data.esante.gouv.fr/terminologies/icf#115600		
https://data.esante.gouv.fr/terminologies/icf#115635		
https://data.esante.gouv.fr/terminologies/icf#115640		
https://data.esante.gouv.fr/terminologies/icf#11571	s1200	s1200 structure of spinal cord
https://data.esante.gouv.fr/terminologies/icf#115781		
https://data.esante.gouv.fr/terminologies/icf#115784		
https://data.esante.gouv.fr/terminologies/icf#11579	b450-b469	additional functions and sensations of the cardiovascular and respiratory systems (b450-b469)
https://data.esante.gouv.fr/terminologies/icf#115797		
https://data.esante.gouv.fr/terminologies/icf#115904		
https://data.esante.gouv.fr/terminologies/icf#115923		
https://data.esante.gouv.fr/terminologies/icf#115926		
https://data.esante.gouv.fr/terminologies/icf#1160	b1300	b1300 energy level
https://data.esante.gouv.fr/terminologies/icf#11605	b55502	b55502 penis, testes and scrotum development
https://data.esante.gouv.fr/terminologies/icf#11610	b7152	b7152 stability of joints generalized
https://data.esante.gouv.fr/terminologies/icf#116114		
https://data.esante.gouv.fr/terminologies/icf#116167		
https://data.esante.gouv.fr/terminologies/icf#116189		
https://data.esante.gouv.fr/terminologies/icf#116297		
https://data.esante.gouv.fr/terminologies/icf#116325		
https://data.esante.gouv.fr/terminologies/icf#116403		
https://data.esante.gouv.fr/terminologies/icf#116434		
https://data.esante.gouv.fr/terminologies/icf#116492		
https://data.esante.gouv.fr/terminologies/icf#116505		
https://data.esante.gouv.fr/terminologies/icf#11657	d610-d629	acquisition of necessities (d610-d629)
https://data.esante.gouv.fr/terminologies/icf#116595		
https://data.esante.gouv.fr/terminologies/icf#116634		
https://data.esante.gouv.fr/terminologies/icf#116806		
https://data.esante.gouv.fr/terminologies/icf#116861		
https://data.esante.gouv.fr/terminologies/icf#116898		
https://data.esante.gouv.fr/terminologies/icf#11700	b2400	b2400 ringing in ears or tinnitus
https://data.esante.gouv.fr/terminologies/icf#117043		
https://data.esante.gouv.fr/terminologies/icf#117074		
https://data.esante.gouv.fr/terminologies/icf#117147		
https://data.esante.gouv.fr/terminologies/icf#117221		
https://data.esante.gouv.fr/terminologies/icf#117238		
https://data.esante.gouv.fr/terminologies/icf#117299		
https://data.esante.gouv.fr/terminologies/icf#11740	d1209	d1209 other purposeful sensing, unspecified
https://data.esante.gouv.fr/terminologies/icf#117435		
https://data.esante.gouv.fr/terminologies/icf#117550		
https://data.esante.gouv.fr/terminologies/icf#11758	b715	b715 stability of joint functions
https://data.esante.gouv.fr/terminologies/icf#117678		
https://data.esante.gouv.fr/terminologies/icf#117690		
https://data.esante.gouv.fr/terminologies/icf#117775		
https://data.esante.gouv.fr/terminologies/icf#117782		
https://data.esante.gouv.fr/terminologies/icf#117814		
https://data.esante.gouv.fr/terminologies/icf#117835		
https://data.esante.gouv.fr/terminologies/icf#117836		
https://data.esante.gouv.fr/terminologies/icf#117941		
https://data.esante.gouv.fr/terminologies/icf#118086		
https://data.esante.gouv.fr/terminologies/icf#11817	b1564	b1564 tactile perception
https://data.esante.gouv.fr/terminologies/icf#118236		
https://data.esante.gouv.fr/terminologies/icf#118296		
https://data.esante.gouv.fr/terminologies/icf#118318		
https://data.esante.gouv.fr/terminologies/icf#118410		
https://data.esante.gouv.fr/terminologies/icf#118416		
https://data.esante.gouv.fr/terminologies/icf#118482		
https://data.esante.gouv.fr/terminologies/icf#118548		
https://data.esante.gouv.fr/terminologies/icf#11856	d6301	d6301 preparing complex meals
https://data.esante.gouv.fr/terminologies/icf#118598		
https://data.esante.gouv.fr/terminologies/icf#118671		
https://data.esante.gouv.fr/terminologies/icf#118678		
https://data.esante.gouv.fr/terminologies/icf#118717		
https://data.esante.gouv.fr/terminologies/icf#118780		
https://data.esante.gouv.fr/terminologies/icf#118870		
https://data.esante.gouv.fr/terminologies/icf#118893		
https://data.esante.gouv.fr/terminologies/icf#118903		
https://data.esante.gouv.fr/terminologies/icf#11902	d6400	d6400 washing and drying clothes and garments
https://data.esante.gouv.fr/terminologies/icf#119041		
https://data.esante.gouv.fr/terminologies/icf#119049		
https://data.esante.gouv.fr/terminologies/icf#119137		
https://data.esante.gouv.fr/terminologies/icf#119185		
https://data.esante.gouv.fr/terminologies/icf#11920	d1408	d1408 learning to read, other specified
https://data.esante.gouv.fr/terminologies/icf#119217		
https://data.esante.gouv.fr/terminologies/icf#119300		
https://data.esante.gouv.fr/terminologies/icf#119414		
https://data.esante.gouv.fr/terminologies/icf#119472		
https://data.esante.gouv.fr/terminologies/icf#119525		
https://data.esante.gouv.fr/terminologies/icf#119589		
https://data.esante.gouv.fr/terminologies/icf#119606		
https://data.esante.gouv.fr/terminologies/icf#119617		
https://data.esante.gouv.fr/terminologies/icf#119734		
https://data.esante.gouv.fr/terminologies/icf#119746		
https://data.esante.gouv.fr/terminologies/icf#119818		
https://data.esante.gouv.fr/terminologies/icf#119825		
https://data.esante.gouv.fr/terminologies/icf#119867		
https://data.esante.gouv.fr/terminologies/icf#119871		
https://data.esante.gouv.fr/terminologies/icf#119896		
https://data.esante.gouv.fr/terminologies/icf#119904		
https://data.esante.gouv.fr/terminologies/icf#119909		
https://data.esante.gouv.fr/terminologies/icf#119937		
https://data.esante.gouv.fr/terminologies/icf#119986		
https://data.esante.gouv.fr/terminologies/icf#1201	b7102	b7102 mobility of joints generalized
https://data.esante.gouv.fr/terminologies/icf#12012	e310	e310 immediate family
https://data.esante.gouv.fr/terminologies/icf#120221		
https://data.esante.gouv.fr/terminologies/icf#120263		
https://data.esante.gouv.fr/terminologies/icf#120324		
https://data.esante.gouv.fr/terminologies/icf#120347		
https://data.esante.gouv.fr/terminologies/icf#120466		
https://data.esante.gouv.fr/terminologies/icf#120540		
https://data.esante.gouv.fr/terminologies/icf#120600		
https://data.esante.gouv.fr/terminologies/icf#12063	s2203	s2203 retina
https://data.esante.gouv.fr/terminologies/icf#120662		
https://data.esante.gouv.fr/terminologies/icf#120773		
https://data.esante.gouv.fr/terminologies/icf#120790		
https://data.esante.gouv.fr/terminologies/icf#120941		
https://data.esante.gouv.fr/terminologies/icf#121216		
https://data.esante.gouv.fr/terminologies/icf#12124	b850-b869	functions of the hair and nails (b850-b869)
https://data.esante.gouv.fr/terminologies/icf#121270		
https://data.esante.gouv.fr/terminologies/icf#121371		
https://data.esante.gouv.fr/terminologies/icf#121445		
https://data.esante.gouv.fr/terminologies/icf#121469		
https://data.esante.gouv.fr/terminologies/icf#121594		
https://data.esante.gouv.fr/terminologies/icf#121603		
https://data.esante.gouv.fr/terminologies/icf#121706		
https://data.esante.gouv.fr/terminologies/icf#121776		
https://data.esante.gouv.fr/terminologies/icf#121799		
https://data.esante.gouv.fr/terminologies/icf#121872		
https://data.esante.gouv.fr/terminologies/icf#121913		
https://data.esante.gouv.fr/terminologies/icf#121964		
https://data.esante.gouv.fr/terminologies/icf#122023		
https://data.esante.gouv.fr/terminologies/icf#122129		
https://data.esante.gouv.fr/terminologies/icf#122133		
https://data.esante.gouv.fr/terminologies/icf#122165		
https://data.esante.gouv.fr/terminologies/icf#122205		
https://data.esante.gouv.fr/terminologies/icf#122210		
https://data.esante.gouv.fr/terminologies/icf#122423		
https://data.esante.gouv.fr/terminologies/icf#122509		
https://data.esante.gouv.fr/terminologies/icf#122533		
https://data.esante.gouv.fr/terminologies/icf#122570		
https://data.esante.gouv.fr/terminologies/icf#12261	b740	b740 muscle endurance functions
https://data.esante.gouv.fr/terminologies/icf#122644		
https://data.esante.gouv.fr/terminologies/icf#122652		
https://data.esante.gouv.fr/terminologies/icf#122657		
https://data.esante.gouv.fr/terminologies/icf#122680		
https://data.esante.gouv.fr/terminologies/icf#12271	s43031	s43031 diaphragm
https://data.esante.gouv.fr/terminologies/icf#12279	d299	d299 general tasks and demands, unspecified
https://data.esante.gouv.fr/terminologies/icf#122794		
https://data.esante.gouv.fr/terminologies/icf#12297	d770	d770 intimate relationships
https://data.esante.gouv.fr/terminologies/icf#123192		
https://data.esante.gouv.fr/terminologies/icf#123275		
https://data.esante.gouv.fr/terminologies/icf#123298		
https://data.esante.gouv.fr/terminologies/icf#123467		
https://data.esante.gouv.fr/terminologies/icf#123502		
https://data.esante.gouv.fr/terminologies/icf#123516		
https://data.esante.gouv.fr/terminologies/icf#123541		
https://data.esante.gouv.fr/terminologies/icf#123562		
https://data.esante.gouv.fr/terminologies/icf#123606		
https://data.esante.gouv.fr/terminologies/icf#123680		
https://data.esante.gouv.fr/terminologies/icf#123698		
https://data.esante.gouv.fr/terminologies/icf#123699		
https://data.esante.gouv.fr/terminologies/icf#123711		
https://data.esante.gouv.fr/terminologies/icf#123830		
https://data.esante.gouv.fr/terminologies/icf#123838		
https://data.esante.gouv.fr/terminologies/icf#123878		
https://data.esante.gouv.fr/terminologies/icf#123910		
https://data.esante.gouv.fr/terminologies/icf#123957		
https://data.esante.gouv.fr/terminologies/icf#124043		
https://data.esante.gouv.fr/terminologies/icf#124083		
https://data.esante.gouv.fr/terminologies/icf#124116		
https://data.esante.gouv.fr/terminologies/icf#12412	d598	d598 self-care, other specified
https://data.esante.gouv.fr/terminologies/icf#124137		
https://data.esante.gouv.fr/terminologies/icf#124183		
https://data.esante.gouv.fr/terminologies/icf#124287		
https://data.esante.gouv.fr/terminologies/icf#124323		
https://data.esante.gouv.fr/terminologies/icf#12455	b525	b525 defecation functions
https://data.esante.gouv.fr/terminologies/icf#124659		
https://data.esante.gouv.fr/terminologies/icf#124672		
https://data.esante.gouv.fr/terminologies/icf#124886		
https://data.esante.gouv.fr/terminologies/icf#124945		
https://data.esante.gouv.fr/terminologies/icf#124951		
https://data.esante.gouv.fr/terminologies/icf#125092		
https://data.esante.gouv.fr/terminologies/icf#125122		
https://data.esante.gouv.fr/terminologies/icf#125184		
https://data.esante.gouv.fr/terminologies/icf#125200		
https://data.esante.gouv.fr/terminologies/icf#125213		
https://data.esante.gouv.fr/terminologies/icf#125307		
https://data.esante.gouv.fr/terminologies/icf#125322		
https://data.esante.gouv.fr/terminologies/icf#125349		
https://data.esante.gouv.fr/terminologies/icf#125358		
https://data.esante.gouv.fr/terminologies/icf#125506		
https://data.esante.gouv.fr/terminologies/icf#1256	b110	b110 consciousness functions
https://data.esante.gouv.fr/terminologies/icf#125647		
https://data.esante.gouv.fr/terminologies/icf#125728		
https://data.esante.gouv.fr/terminologies/icf#125739		
https://data.esante.gouv.fr/terminologies/icf#125754		
https://data.esante.gouv.fr/terminologies/icf#125791		
https://data.esante.gouv.fr/terminologies/icf#125823		
https://data.esante.gouv.fr/terminologies/icf#125843		
https://data.esante.gouv.fr/terminologies/icf#125852		
https://data.esante.gouv.fr/terminologies/icf#125854		
https://data.esante.gouv.fr/terminologies/icf#125979		
https://data.esante.gouv.fr/terminologies/icf#126005		
https://data.esante.gouv.fr/terminologies/icf#126063		
https://data.esante.gouv.fr/terminologies/icf#126084		
https://data.esante.gouv.fr/terminologies/icf#126128		
https://data.esante.gouv.fr/terminologies/icf#12616	s698	s698 structures related to the genitourinary and reproductive systems, other specified
https://data.esante.gouv.fr/terminologies/icf#12627	b750-b789	movement functions (b750-b789)
https://data.esante.gouv.fr/terminologies/icf#126314		
https://data.esante.gouv.fr/terminologies/icf#126319		
https://data.esante.gouv.fr/terminologies/icf#126383		
https://data.esante.gouv.fr/terminologies/icf#126413		
https://data.esante.gouv.fr/terminologies/icf#126561		
https://data.esante.gouv.fr/terminologies/icf#126757		
https://data.esante.gouv.fr/terminologies/icf#126776		
https://data.esante.gouv.fr/terminologies/icf#126934		
