defined_class	phenotype
http://www.orpha.net/ORDO/Orphanet_590	HP:0031374
http://www.orpha.net/ORDO/Orphanet_590	HP:0031177
http://www.orpha.net/ORDO/Orphanet_590	HP:0009077
http://www.orpha.net/ORDO/Orphanet_590	HP:0000602
http://www.orpha.net/ORDO/Orphanet_590	HP:0000544
http://www.orpha.net/ORDO/Orphanet_590	HP:0000496
http://www.orpha.net/ORDO/Orphanet_590	HP:0007941
http://www.orpha.net/ORDO/Orphanet_590	HP:0012531
http://www.orpha.net/ORDO/Orphanet_590	HP:0003326
http://www.orpha.net/ORDO/Orphanet_590	HP:0003394
http://www.orpha.net/ORDO/Orphanet_590	HP:0000508
http://www.orpha.net/ORDO/Orphanet_590	HP:0007695
http://www.orpha.net/ORDO/Orphanet_590	HP:0030211
http://www.orpha.net/ORDO/Orphanet_590	HP:0001558
http://www.orpha.net/ORDO/Orphanet_590	HP:0001315
http://www.orpha.net/ORDO/Orphanet_590	HP:0031826
http://www.orpha.net/ORDO/Orphanet_590	HP:0001284
http://www.orpha.net/ORDO/Orphanet_590	HP:0001265
http://www.orpha.net/ORDO/Orphanet_590	HP:0002600
http://www.orpha.net/ORDO/Orphanet_590	HP:0002522
http://www.orpha.net/ORDO/Orphanet_590	HP:0002098
http://www.orpha.net/ORDO/Orphanet_590	HP:0002104
http://www.orpha.net/ORDO/Orphanet_590	HP:0002878
http://www.orpha.net/ORDO/Orphanet_590	HP:0004887
http://www.orpha.net/ORDO/Orphanet_590	HP:0002643
http://www.orpha.net/ORDO/Orphanet_590	HP:0005949
http://www.orpha.net/ORDO/Orphanet_590	HP:0004889
http://www.orpha.net/ORDO/Orphanet_590	HP:0004347
http://www.orpha.net/ORDO/Orphanet_590	HP:0004885
http://www.orpha.net/ORDO/Orphanet_590	HP:0002747
http://www.orpha.net/ORDO/Orphanet_590	HP:0002093
http://www.orpha.net/ORDO/Orphanet_590	HP:0032341
http://www.orpha.net/ORDO/Orphanet_590	HP:0002650
http://www.orpha.net/ORDO/Orphanet_590	HP:0002751
http://www.orpha.net/ORDO/Orphanet_590	HP:0030006
http://www.orpha.net/ORDO/Orphanet_590	HP:0030205
http://www.orpha.net/ORDO/Orphanet_590	HP:0008180
http://www.orpha.net/ORDO/Orphanet_590	HP:0003236
http://www.orpha.net/ORDO/Orphanet_590	HP:0040081
http://www.orpha.net/ORDO/Orphanet_590	HP:0030202
http://www.orpha.net/ORDO/Orphanet_590	HP:0030203
http://www.orpha.net/ORDO/Orphanet_590	HP:0000651
http://www.orpha.net/ORDO/Orphanet_590	HP:0002804
http://www.orpha.net/ORDO/Orphanet_590	HP:0002882
http://www.orpha.net/ORDO/Orphanet_590	HP:0000218
http://www.orpha.net/ORDO/Orphanet_590	HP:0001612
http://www.orpha.net/ORDO/Orphanet_590	HP:0033454
http://www.orpha.net/ORDO/Orphanet_590	HP:0001249
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002828
http://www.orpha.net/ORDO/Orphanet_97245	HP:0012768
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002483
http://www.orpha.net/ORDO/Orphanet_97245	HP:0025156
http://www.orpha.net/ORDO/Orphanet_97245	HP:0033994
http://www.orpha.net/ORDO/Orphanet_97245	HP:0030884
http://www.orpha.net/ORDO/Orphanet_97245	HP:0040288
http://www.orpha.net/ORDO/Orphanet_97245	HP:0031063
http://www.orpha.net/ORDO/Orphanet_97245	HP:0033454
http://www.orpha.net/ORDO/Orphanet_97245	HP:0011471
http://www.orpha.net/ORDO/Orphanet_97245	HP:0011470
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001627
http://www.orpha.net/ORDO/Orphanet_97245	HP:0030872
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001713
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001638
http://www.orpha.net/ORDO/Orphanet_97245	HP:0005216
http://www.orpha.net/ORDO/Orphanet_97245	HP:0030193
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001374
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001270
http://www.orpha.net/ORDO/Orphanet_97245	HP:0031936
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002015
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002068
http://www.orpha.net/ORDO/Orphanet_97245	HP:0200136
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001618
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001609
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000276
http://www.orpha.net/ORDO/Orphanet_97245	HP:0011968
http://www.orpha.net/ORDO/Orphanet_97245	HP:0008872
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001508
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001531
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002033
http://www.orpha.net/ORDO/Orphanet_97245	HP:0031914
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003323
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001288
