defined_class	source	function	activity
HP:0001611	OPMD HPO KB associations	http://id.who.int/icd/entity/1846694084	http://id.who.int/icd/entity/151046878
HP:0001260	OPMD HPO KB associations	http://id.who.int/icd/entity/1919311435	http://id.who.int/icd/entity/151046878
HP:0000508	OPMD Patient form		
HP:0001288	OPMD Patient form		
HP:0002015	OPMD Patient form		
HP:0002141	OPMD Patient form		
HP:0002172	OPMD Patient form		
HP:0002317	OPMD Patient form		
HP:0003427	OPMD Patient form		
HP:0003547	OPMD Patient form		
HP:0003551	OPMD Patient form		
HP:0003749	OPMD Patient form		
HP:0008959	OPMD Patient form		
HP:0008988	OPMD Patient form	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0008997	OPMD Patient form		
HP:0009027	OPMD Patient form		
HP:0011968	OPMD Patient form		
HP:0012378	OPMD Patient form		
HP:0012515	OPMD Patient form		
HP:0012531	OPMD Patient form		
HP:0012735	OPMD Patient form	http://id.who.int/icd/entity/1083127119	
HP:0030237	OPMD Patient form		
HP:0033235	OPMD Patient form		
HP:0033416	OPMD Patient form		
HP:0033466	OPMD Patient form	http://id.who.int/icd/entity/1789365017	
HP:0000007	OPMD Medical expert		
HP:0003458	OPMD Medical expert		
HP:0012497	OPMD Medical expert	http://id.who.int/icd/entity/1789365017	
HP:0002828	CMS Scoping review	http://id.who.int/icd/entity/1757783224	
HP:0002483	CMS Scoping review		
HP:0005216	CMS Scoping review		
HP:0030193	CMS Scoping review	http://id.who.int/icd/entity/1389818830	http://id.who.int/icd/entity/1328675264
HP:0030193		http://id.who.int/icd/entity/1789365017	
HP:0001270	CMS Scoping review		http://id.who.int/icd/entity/855039967
HP:0001270			http://id.who.int/icd/entity/1462755743
HP:0001270			http://id.who.int/icd/entity/1851215071
HP:0001270			http://id.who.int/icd/entity/623565657
HP:0001270			http://id.who.int/icd/entity/485719194
HP:0001270			http://id.who.int/icd/entity/1474003417
HP:0001270			http://id.who.int/icd/entity/1550548595
HP:0001270			http://id.who.int/icd/entity/919003335
HP:0031936	CMS Scoping review		http://id.who.int/icd/entity/1550548595
HP:0033580	CMS Scoping review		
PROMOT:0000106	CMS Scoping review		
HP:0002015	CMS Scoping review		
HP:0002068	CMS Scoping review		
HP:0200136	CMS Scoping review		
HP:0001618	CMS Scoping review		
HP:0001609	CMS Scoping review		
HP:0030000	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003398	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003458	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003445	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003403	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0011968	CMS Scoping review	http://id.who.int/icd/entity/2089171534	http://id.who.int/icd/entity/1328675264
HP:0011968		http://id.who.int/icd/entity/1806589582	
HP:0011968		http://id.who.int/icd/entity/1389818830	
HP:0011968		http://id.who.int/icd/entity/1174312718	
HP:0011968		http://id.who.int/icd/entity/923782542	http://id.who.int/icd/entity/553784299
HP:0011968		http://id.who.int/icd/entity/539470158	
HP:0008872	CMS Scoping review	http://id.who.int/icd/entity/2089171534	http://id.who.int/icd/entity/1328675264
